Designator,Mid X,Mid Y,Rotation,Layer
J1,125.25,-62.0,0.0,top
J2,139.25,-62.0,0.0,top
J3,153.25,-62.0,0.0,top
J4,167.25,-62.0,0.0,top
J6,115.5,-63.0,270.0,top
J7,182.25,-62.0,0.0,top
J8,194.5,-75.0,270.0,top
R1,125.0,-53.19,270.0,top
R10,167.0,-53.31,270.0,top
R11,162.0,-53.31,270.0,top
R12,168.0,-80.77,180.0,top
R14,177.5,-53.31,270.0,top
R15,182.5,-53.31,270.0,top
R16,181.0,-81.0,180.0,top
R2,120.0,-53.31,270.0,top
R3,125.69,-80.77,180.0,top
R4,139.0,-53.19,270.0,top
R5,134.0,-53.31,270.0,top
R6,139.69,-80.77,180.0,top
R7,153.0,-53.31,270.0,top
R8,148.0,-53.31,270.0,top
R9,153.69,-80.77,180.0,top
RV1,194.0,-53.96,90.0,top
U1,139.69,-71.69,270.0,top
U2,125.5,-71.69,270.0,top
U3,153.69,-72.0,270.0,top
U4,168.0,-72.0,270.0,top
U5,181.5,-72.0,270.0,top
